run_id,replicate,status,language,model,tooling,build_time,code_quality
1,1,completed,python,opus,none,1.0,0.7888888888888889
2,1,completed,python,opus,beads,1.0,0.6222222222222222
3,1,completed,python,sonnet,none,1.0,0.6666666666666666
4,1,completed,python,sonnet,beads,1.0,0.6222222222222222
5,1,completed,typescript,opus,none,1.0,0.7333333333333334
6,1,completed,typescript,opus,beads,1.0,0.7333333333333334
7,1,completed,typescript,sonnet,none,1.0,0.7333333333333334
9,1,completed,go,opus,none,1.0,0.888888888888889
10,1,completed,go,opus,beads,1.0,0.9555555555555556
11,1,completed,go,sonnet,none,1.0,0.9555555555555556
12,1,completed,go,sonnet,beads,1.0,1.0
13,2,completed,python,opus,none,1.0,0.6222222222222222
14,3,completed,python,opus,none,1.0,0.9555555555555556
15,2,completed,python,opus,beads,1.0,0.7722222222222221
16,3,completed,python,opus,beads,1.0,0.6222222222222222
17,2,completed,python,sonnet,none,1.0,0.6222222222222222
18,3,completed,python,sonnet,none,1.0,0.6222222222222222
19,2,completed,python,sonnet,beads,1.0,0.7999999999999999
20,3,completed,python,sonnet,beads,1.0,0.6666666666666666
21,2,completed,typescript,opus,none,1.0,0.7333333333333334
22,3,completed,typescript,opus,none,1.0,0.7333333333333334
23,2,completed,typescript,opus,beads,1.0,0.7333333333333334
24,3,completed,typescript,opus,beads,1.0,0.7333333333333334
25,2,completed,typescript,sonnet,none,1.0,0.7333333333333334
27,1,completed,typescript,sonnet,beads,1.0,0.7333333333333334
28,2,completed,typescript,sonnet,beads,1.0,0.7333333333333334
29,3,completed,typescript,sonnet,beads,1.0,0.7333333333333334
30,2,completed,go,opus,none,1.0,1.0
31,3,completed,go,opus,none,1.0,1.0
32,2,completed,go,opus,beads,1.0,1.0
33,3,completed,go,opus,beads,1.0,1.0
34,2,completed,go,sonnet,none,1.0,0.9555555555555556
35,3,completed,go,sonnet,none,1.0,0.9555555555555556
36,2,completed,go,sonnet,beads,1.0,1.0
37,3,completed,go,sonnet,beads,1.0,1.0
38,1,completed,rust,opus,none,1.0,0.8333333333333334
39,2,completed,rust,opus,none,1.0,0.8333333333333334
40,3,completed,rust,opus,none,1.0,0.8333333333333334
41,1,completed,rust,opus,beads,1.0,0.8333333333333334
42,2,completed,rust,opus,beads,1.0,0.8333333333333334
43,3,completed,rust,opus,beads,1.0,0.8333333333333334
44,1,completed,rust,sonnet,none,1.0,0.8333333333333334
45,2,completed,rust,sonnet,none,1.0,0.8333333333333334
46,3,completed,rust,sonnet,none,1.0,0.8333333333333334
47,1,completed,rust,sonnet,beads,1.0,0.8333333333333334
48,2,completed,rust,sonnet,beads,1.0,0.8333333333333334
