run,language,model,prompt
1,clojure,sonnet,neutral
2,clojure,sonnet,TDD
3,clojure,sonnet,ATDD
4,clojure,opus-4.8-fast,neutral
5,clojure,opus-4.8-fast,TDD
6,clojure,opus-4.8-fast,ATDD
7,rust,sonnet,neutral
8,rust,sonnet,TDD
9,rust,sonnet,ATDD
10,rust,opus-4.8-fast,neutral
11,rust,opus-4.8-fast,TDD
12,rust,opus-4.8-fast,ATDD
13,java,sonnet,neutral
14,java,sonnet,TDD
15,java,sonnet,ATDD
16,java,opus-4.8-fast,neutral
17,java,opus-4.8-fast,TDD
18,java,opus-4.8-fast,ATDD
19,typescript,sonnet,neutral
20,typescript,sonnet,TDD
21,typescript,sonnet,ATDD
22,typescript,opus-4.8-fast,neutral
23,typescript,opus-4.8-fast,TDD
24,typescript,opus-4.8-fast,ATDD
25,erlang,sonnet,neutral
26,erlang,sonnet,TDD
27,erlang,sonnet,ATDD
28,erlang,opus-4.8-fast,neutral
29,erlang,opus-4.8-fast,TDD
30,erlang,opus-4.8-fast,ATDD
31,elixir,sonnet,neutral
32,elixir,sonnet,TDD
33,elixir,sonnet,ATDD
34,elixir,opus-4.8-fast,neutral
35,elixir,opus-4.8-fast,TDD
36,elixir,opus-4.8-fast,ATDD
