task,run_id,replicate,status,language,model,tooling,_cost_usd,_duration_seconds,_tokens,code_quality,_turns,defect_rate,idiomatic,maintainability,test_coverage,token_efficiency
rest-api-crud,1,1,completed,python,opus,none,,,,0.7888888888888889,,,,,,
rest-api-crud,2,1,completed,python,opus,beads,,,,0.6222222222222222,,,,,,
rest-api-crud,3,1,completed,python,sonnet,none,,,,0.6666666666666666,,,,,,
rest-api-crud,4,1,completed,python,sonnet,beads,,,,0.6222222222222222,,,,,,
rest-api-crud,5,1,completed,typescript,opus,none,,,,0.7333333333333334,,,,,,
rest-api-crud,6,1,completed,typescript,opus,beads,,,,0.7333333333333334,,,,,,
rest-api-crud,7,1,completed,typescript,sonnet,none,,,,0.7333333333333334,,,,,,
rest-api-crud,9,1,completed,go,opus,none,,,,0.888888888888889,,,,,,
rest-api-crud,10,1,completed,go,opus,beads,,,,0.9555555555555556,,,,,,
rest-api-crud,11,1,completed,go,sonnet,none,,,,0.9555555555555556,,,,,,
rest-api-crud,12,1,completed,go,sonnet,beads,,,,1.0,,,,,,
rest-api-crud,13,2,completed,python,opus,none,0.2077,45.3,105212.0,0.6222222222222222,,,,,,
rest-api-crud,14,3,completed,python,opus,none,0.1992,42.6,78185.0,0.9555555555555556,,,,,,
rest-api-crud,15,2,completed,python,opus,beads,0.4313,87.9,342199.0,0.7722222222222221,,,,,,
rest-api-crud,16,3,completed,python,opus,beads,0.3154,70.3,218520.0,0.6222222222222222,,,,,,
rest-api-crud,17,2,completed,python,sonnet,none,0.2319,79.8,352699.0,0.6222222222222222,,,,,,
rest-api-crud,18,3,completed,python,sonnet,none,0.2195,67.8,312082.0,0.6222222222222222,,,,,,
rest-api-crud,19,2,completed,python,sonnet,beads,0.2995,129.0,493328.0,0.7999999999999999,,,,,,
rest-api-crud,20,3,completed,python,sonnet,beads,0.2239,91.3,380179.0,0.6666666666666666,,,,,,
rest-api-crud,21,2,completed,typescript,opus,none,0.3113,183.8,167020.0,0.7333333333333334,,,,,,
rest-api-crud,22,3,completed,typescript,opus,none,0.3261,178.6,170386.0,0.7333333333333334,,,,,,
rest-api-crud,23,2,completed,typescript,opus,beads,0.5452,226.6,505402.0,0.7333333333333334,,,,,,
rest-api-crud,24,3,completed,typescript,opus,beads,0.4785,211.7,403038.0,0.7333333333333334,,,,,,
