run,language,model,prompt,effort
0,python,claude-opus-4-7,neutral,default
1,python,claude-opus-4-7,neutral,low
2,python,claude-opus-4-7,neutral,medium
3,python,claude-opus-4-7,neutral,high
4,python,claude-opus-4-7,neutral,max
5,python,claude-opus-4-8,neutral,default
6,python,claude-opus-4-8,neutral,low
7,python,claude-opus-4-8,neutral,medium
8,python,claude-opus-4-8,neutral,high
9,python,claude-opus-4-8,neutral,max
10,python,claude-fable-5,neutral,default
11,python,claude-fable-5,neutral,low
12,python,claude-fable-5,neutral,medium
13,python,claude-fable-5,neutral,high
14,python,claude-fable-5,neutral,max
15,python,claude-opus-5,neutral,default
16,python,claude-opus-5,neutral,low
17,python,claude-opus-5,neutral,medium
18,python,claude-opus-5,neutral,high
19,python,claude-opus-5,neutral,max
20,python,claude-opus-4-8-fast,neutral,default
