run,language,agent,prompt,model,effort
0,python,codex,neutral,gpt-5.6-terra,low
1,python,codex,neutral,gpt-5.6-terra,medium
2,python,codex,neutral,gpt-5.6-terra,high
3,python,codex,neutral,gpt-5.6-terra,xhigh
4,python,codex,neutral,gpt-5.6-terra,max
5,go,codex,neutral,gpt-5.6-terra,low
6,go,codex,neutral,gpt-5.6-terra,medium
7,go,codex,neutral,gpt-5.6-terra,high
8,go,codex,neutral,gpt-5.6-terra,xhigh
9,go,codex,neutral,gpt-5.6-terra,max
10,python,claude-code,neutral,claude-opus-5,low
11,python,claude-code,neutral,claude-opus-5,medium
12,python,claude-code,neutral,claude-opus-5,high
13,python,claude-code,neutral,claude-opus-5,xhigh
14,python,claude-code,neutral,claude-opus-5,max
15,go,claude-code,neutral,claude-opus-5,low
16,go,claude-code,neutral,claude-opus-5,medium
17,go,claude-code,neutral,claude-opus-5,high
18,go,claude-code,neutral,claude-opus-5,xhigh
19,go,claude-code,neutral,claude-opus-5,max
