run_id,replicate,status,language,model,tooling,_cost_usd,_duration_seconds,_tokens,_turns,code_quality,defect_rate,idiomatic,maintainability,test_coverage,token_efficiency
2,2,completed,python,claude-opus-4-7,none,0.583584,103.07595866685733,615473.0,16.0,0.7888888888888889,1.0,0.72,1.0,1.0,0.007538917223013844
3,3,completed,python,claude-opus-4-7,none,0.4404235,73.39714841591194,415376.0,11.0,0.7888888888888889,1.0,0.52,1.0,1.0,0.011748391818496977
5,2,completed,python,claude-opus-4-7,beads,0.6765460000000001,122.68609712505713,677058.0,23.0,0.7888888888888889,1.0,0.82,1.0,1.0,0.007089496025451291
6,3,completed,python,claude-opus-4-7,beads,0.6548075,113.56535691674799,721183.0,21.0,0.7888888888888889,1.0,0.62,1.0,1.0,0.006212015535585281
7,1,completed,python,claude-opus-4-8,none,0.3691715,99.44031837489456,85311.0,12.0,0.7888888888888889,1.0,0.72,1.0,1.0,0.0693931614914841
8,2,completed,python,claude-opus-4-8,none,0.35513825000000004,76.70618541585281,256056.0,10.0,0.7888888888888889,1.0,0.7,1.0,1.0,0.018667791420626738
9,3,completed,python,claude-opus-4-8,none,0.38454124999999995,87.02410762477666,290090.0,12.0,0.7888888888888889,1.0,0.81,1.0,1.0,0.01620186838567341
10,1,completed,python,claude-opus-4-8,beads,0.7269617500000001,208.70897141611204,139185.0,28.0,0.7888888888888889,1.0,0.87,1.0,1.0,0.03707296044832417
11,2,completed,python,claude-opus-4-8,beads,0.6458627499999999,132.92606966709718,665605.0,25.0,0.6666666666666666,1.0,0.7,0.2678918041236911,0.99,1.0
12,3,completed,python,claude-opus-4-8,beads,0.50565825,126.35659587476403,422608.0,17.0,0.8666666666666667,1.0,0.68,0.2738315779293891,0.94,1.0
13,1,completed,typescript,claude-opus-4-7,none,0.4565935,116.31195133319125,318352.0,17.0,0.7333333333333334,1.0,0.35,0.6760866636922055,0.8941,1.0
14,2,completed,typescript,claude-opus-4-7,none,0.652431,131.72197374980897,665996.0,17.0,0.7333333333333334,1.0,0.78,0.7535349273301833,0.924,1.0
15,3,completed,typescript,claude-opus-4-7,none,0.612829,135.94608383299783,617031.0,16.0,0.7333333333333334,1.0,0.68,0.6851053693615853,0.9102,1.0
16,1,completed,typescript,claude-opus-4-7,beads,1.0586265,189.07927854079753,1220231.0,36.0,0.7333333333333334,1.0,0.9,0.7285490771458983,0.9175,1.0
17,2,completed,typescript,claude-opus-4-7,beads,0.8603619999999998,173.46809924999252,859091.0,36.0,0.7333333333333334,1.0,0.75,0.7341699949023078,0.8,1.0
18,3,completed,typescript,claude-opus-4-7,beads,0.8727052500000001,177.69575741700828,951880.0,31.0,0.7333333333333334,1.0,0.87,0.6734627179067355,0.9157,1.0
20,2,completed,typescript,claude-opus-4-8,none,0.508763,130.20346320793033,424213.0,16.0,0.7333333333333334,1.0,0.87,0.6890993895512181,0.9178000000000001,1.0
22,1,completed,typescript,claude-opus-4-8,beads,0.6205117500000001,152.62433174997568,578680.0,22.0,0.7333333333333334,1.0,0.88,0.9325990382158929,1.0,1.0
23,2,completed,typescript,claude-opus-4-8,beads,0.725718,180.87369087478146,693886.0,25.0,0.7333333333333334,1.0,0.87,0.8864207006245564,0.9081,1.0
24,3,completed,typescript,claude-opus-4-8,beads,0.6488610000000001,169.23064120765775,570593.0,21.0,0.7333333333333334,1.0,0.94,0.8080053107685927,1.0,1.0
25,1,completed,go,claude-opus-4-7,none,0.8690154999999998,176.80946229211986,909838.0,22.0,1.0,1.0,0.72,0.9101956859899548,0.636,0.009825925054789974
26,2,completed,go,claude-opus-4-7,none,0.6904967500000001,146.45723758311942,605858.0,15.0,1.0,1.0,0.88,0.8940475298734101,0.69,0.015581208798101204
27,3,completed,go,claude-opus-4-7,none,0.7198420000000001,132.8637185827829,651791.0,16.0,1.0,1.0,0.87,0.8887070931680231,0.7070000000000001,0.016446989909342104
28,1,completed,go,claude-opus-4-7,beads,1.1326664999999996,194.54115825006738,1152605.0,28.0,1.0,1.0,0.93,0.8899831662712305,0.7040000000000001,0.009005687117442662
29,2,completed,go,claude-opus-4-7,beads,0.9207497499999999,159.27570145810023,995047.0,26.0,1.0,1.0,0.7,0.897111171106329,0.654,0.00942669039753901
30,3,completed,go,claude-opus-4-7,beads,1.0203225,183.38293624995276,1117355.0,27.0,1.0,1.0,0.88,0.8763629864841797,0.685,0.009182399505976168
31,1,completed,go,claude-opus-4-8,none,0.62910725,129.19937920803204,520627.0,19.0,1.0,1.0,0.75,0.857208319105287,0.7,0.016480128767812657
32,2,completed,go,claude-opus-4-8,none,0.6165747500000001,139.178053249605,450238.0,16.0,1.0,1.0,0.68,0.8799183459548194,0.69,0.020789004926283435
33,3,completed,go,claude-opus-4-8,none,0.58663875,131.8862854996696,428930.0,16.0,1.0,1.0,0.68,0.8956340091338935,0.667,0.021914997785186394
34,1,completed,go,claude-opus-4-8,beads,0.7087164999999999,160.9733712086454,581728.0,21.0,1.0,1.0,0.87,0.873398464910318,0.735,0.015092964409483472
35,2,completed,go,claude-opus-4-8,beads,0.69011925,155.6854442502372,553417.0,20.0,1.0,1.0,0.76,0.8298483449696549,0.708,0.016443296826805103
36,3,completed,go,claude-opus-4-8,beads,0.74805025,166.53649737499654,618073.0,22.0,1.0,1.0,0.88,0.8833769922960056,0.696,0.015564504516456794
37,1,completed,python,claude-opus-4-7,none,0.46518275,75.71723537519574,452356.0,12.0,0.7722222222222221,1.0,0.68,1.0,1.0,0.010345833812307121
38,1,completed,python,claude-opus-4-7,beads,0.6990445,112.4419204168953,794659.0,20.0,0.6666666666666666,0.9043062200956937,0.67,0.9033620732378385,1.0,0.005260117861875345
39,1,completed,typescript,claude-opus-4-8,none,0.4641315,121.39690250018612,330123.0,16.0,0.7333333333333334,1.0,0.87,0.7881048828338244,1.0,1.0
40,3,completed,typescript,claude-opus-4-8,none,0.44209475,105.56304941698909,279237.0,17.0,0.7333333333333334,1.0,0.75,0.7064321728085278,1.0,1.0
41,1,completed,rust,claude-opus-4-7,none,0.66041275,125.31101112486795,606720.0,15.0,0.8333333333333334,1.0,0.75,0.7544259653642579,1.0,0.13304324894514769
42,2,completed,rust,claude-opus-4-7,none,0.8507325,191.20792412525043,579156.0,13.0,0.8333333333333334,0.9491094147582697,0.76,0.7855109430400806,1.0,0.13771764429618272
43,3,completed,rust,claude-opus-4-7,none,0.67847725,146.48022470856085,496721.0,12.0,0.8333333333333334,0.9501246882793017,0.67,0.781847939377077,1.0,0.16081462229299745
44,1,completed,rust,claude-opus-4-7,beads,1.056353,205.8687939592637,1142271.0,28.0,0.8333333333333334,0.9592668024439919,0.7,0.9378889882727887,1.0,0.13478412740934506
45,2,completed,rust,claude-opus-4-7,beads,1.01939325,201.62819750001654,1123572.0,28.0,0.8333333333333334,1.0,0.75,0.9413895471337647,1.0,0.1362262498531469
46,3,completed,rust,claude-opus-4-7,beads,0.8768765,175.41262162523344,901678.0,28.0,0.8333333333333334,1.0,0.72,0.8554863257326933,1.0,0.08484181714536675
47,1,completed,rust,claude-opus-4-8,none,0.46427725000000003,118.40048725018278,296035.0,11.0,0.8333333333333334,1.0,0.74,0.7608735665507099,1.0,0.2677386119884473
48,2,completed,rust,claude-opus-4-8,none,0.9305945,268.8053949577734,280430.0,26.0,0.8333333333333334,0.949748743718593,0.77,0.3174825174825175,1.0,0.2831366116321364
49,3,completed,rust,claude-opus-4-8,none,0.8760952500000001,252.11225220793858,154915.0,30.0,0.8333333333333334,1.0,0.87,0.7451802691288846,1.0,0.4807797824613498
